epoch,train_loss,val_loss
1,0.4761965125799179,0.31949174404144287
2,0.23394485929254757,0.36952873518069584
3,0.21189256201861267,0.5586670617262522
4,0.19586037314039165,0.5258842726548513
5,0.1820912032814349,0.5754527295629184
6,0.17032370084928253,0.4674757684270541
7,0.16418048714177083,0.4576007237037023
8,0.15064802399631275,0.7195852021376292
9,0.14682444159762334,0.48588394771019616
10,0.1354209010378789,0.4174499789873759
11,0.13666320971008075,0.46790188948313394
12,0.12261911216428724,0.529288786649704
13,0.11375880342418865,0.4919821873307228
14,0.10417183311813968,0.45999736338853836
15,0.10256247519183967,0.4741579939921697
16,0.09895936967962879,0.5331424802541733
17,0.09755012512964717,0.5513081043958664
18,0.09660266289266489,0.4723485320806503
19,0.09225291121056524,0.4508207415541013
20,0.08780699027544361,0.4586550404628118
21,0.08472385282738734,0.4814878190557162
22,0.08490276803909722,0.5337196757396062
23,0.0819947805445073,0.44883120357990264
24,0.07607969370181278,0.46496567328770955
25,0.07532437347759635,0.4615626156330109
26,0.07190458426031016,0.4477642138799032
